sensor_type	dt	px	py	vx	vy	estimate_x	estimate_y	estimate_vx	estimate_vy	rmse_x	rmse_y	rmse_vx	rmse_vy	NIS_lidar	NIS_radar
L	1477010447300000	19.5042	8.5289	1.90381	4.49819	19.5094	8.54895	2.03261	4.35668	0.0725301	0.111951	0.161733	0.267261	4.46195	2.38871
R	1477010447350000	19.5966	8.75494	1.7919	4.53956	19.5998	8.76175	1.92332	4.38484	0.0721176	0.111316	0.16142	0.266249	4.46195	0.814269
L	1477010447400000	19.6835	8.983	1.67841	4.57848	19.75	8.94669	1.9266	4.37722	0.0720577	0.110756	0.162652	0.265607	3.72794	0.814269
R	1477010447450000	19.7645	9.21294	1.56341	4.61488	19.8251	9.17067	1.79446	4.41291	0.0719398	0.110229	0.163569	0.264984	3.72794	1.24331
L	1477010447500000	19.8398	9.44463	1.44697	4.64869	19.9504	9.39393	1.75813	4.44984	0.0724757	0.10975	0.165906	0.264348	2.44954	1.24331
R	1477010447550000	19.9093	9.67795	1.32916	4.67984	20.0009	9.61747	1.59196	4.47271	0.0727117	0.109334	0.167262	0.263792	2.44954	3.33507
L	1477010447600000	19.9728	9.91275	1.21005	4.70826	20.0882	9.85175	1.51077	4.51682	0.0733044	0.108928	0.169257	0.26312	0.412631	3.33507
R	1477010447650000	20.0303	10.1489	1.08972	4.73389	20.1482	10.0971	1.39762	4.57175	0.0739203	0.108479	0.171323	0.262251	0.412631	6.98641
L	1477010447700000	20.0818	10.3863	0.968259	4.75666	20.1999	10.3581	1.26781	4.63844	0.0745224	0.107946	0.173168	0.261149	0.775426	6.98641
R	1477010447750000	20.1271	10.6247	0.845742	4.77652	20.2232	10.5905	1.09053	4.65173	0.0747797	0.107439	0.174066	0.260097	0.775426	3.80713
L	1477010447800000	20.1663	10.864	0.722256	4.7934	20.2824	10.8567	0.985137	4.71526	0.0753212	0.106886	0.175212	0.258874	1.66079	3.80713
R	1477010447850000	20.1993	11.1041	0.597892	4.80727	20.313	11.1073	0.851589	4.75151	0.0758103	0.10634	0.176189	0.257612	1.66079	5.01461
L	1477010447900000	20.2261	11.3449	0.472738	4.81807	20.3463	11.3477	0.736018	4.77148	0.0763876	0.105802	0.177283	0.25635	0.048533	5.01461
R	1477010447950000	20.2466	11.5861	0.346889	4.82575	20.3087	11.5883	0.472342	4.75809	0.0762577	0.105271	0.17684	0.255155	0.048533	13.4535
L	1477010448000000	20.2608	11.8275	0.220439	4.83027	20.3743	11.8351	0.41977	4.78435	0.0767149	0.104752	0.177077	0.25393	3.58525	13.4535
R	1477010448050000	20.2687	12.0692	0.093487	4.83159	20.3931	12.0701	0.33144	4.79668	0.0773267	0.104237	0.177775	0.252705	3.58525	2.94754
L	1477010448100000	20.2701	12.3108	-0.0338694	4.82968	20.3835	12.3498	0.170024	4.84668	0.0777564	0.103801	0.178047	0.251481	1.42235	2.94754
R	1477010448150000	20.2652	12.5522	-0.161529	4.82451	20.3436	12.5853	-0.0485923	4.8151	0.0777624	0.103352	0.177534	0.250271	1.42235	5.06147
L	1477010448200000	20.254	12.7933	-0.28939	4.81605	20.3639	12.831	-0.131703	4.82294	0.0781316	0.102924	0.177356	0.249077	1.13401	5.06147
R	1477010448250000	20.2363	13.0339	-0.417348	4.80428	20.3506	13.0629	-0.266436	4.79985	0.0785513	0.102476	0.177125	0.2479	1.13401	2.39866
L	1477010448300000	20.2122	13.2738	-0.545298	4.78918	20.315	13.284	-0.406056	4.76666	0.0788117	0.102001	0.176808	0.246749	1.4363	2.39866
R	1477010448350000	20.1818	13.5129	-0.673135	4.77072	20.2753	13.5177	-0.55025	4.74508	0.0789602	0.101529	0.176385	0.245616	1.4363	1.50089
L	1477010448400000	20.1449	13.7509	-0.800753	4.74892	20.2533	13.7758	-0.664706	4.75604	0.0792804	0.10109	0.176057	0.244488	0.936363	1.50089
R	1477010448450000	20.1017	13.9878	-0.928043	4.72374	20.199	14.0037	-0.826102	4.71265	0.079463	0.100641	0.175524	0.243376	0.936363	1.5573
L	1477010448500000	20.0521	14.2233	-1.0549	4.69521	20.1444	14.2579	-0.968633	4.70938	0.0795877	0.10024	0.174923	0.242281	0.3795	1.5573
R	1477010448550000	19.9962	14.4573	-1.18121	4.66331	20.0728	14.4856	-1.1239	4.66557	0.079562	0.0998277	0.174225	0.241197	0.3795	1.80162
L	1477010448600000	19.934	14.6897	-1.30687	4.62805	19.9685	14.7375	-1.31832	4.64389	0.0792757	0.0994866	0.173455	0.240132	2.02487	1.80162
R	1477010448650000	19.8655	14.9202	-1.43177	4.58944	19.8981	14.9555	-1.4328	4.59558	0.0789864	0.0991047	0.172693	0.239077	2.02487	3.15765
L	1477010448700000	19.7908	15.1486	-1.55581	4.54751	19.859	15.1802	-1.50157	4.5616	0.0788995	0.0987167	0.172015	0.238039	1.44322	3.15765
R	1477010448750000	19.7099	15.3749	-1.67887	4.50226	19.7357	15.3944	-1.74435	4.45152	0.0785952	0.0983069	0.17138	0.237058	1.44322	10.3514
L	1477010448800000	19.6229	15.5989	-1.80085	4.45372	19.6972	15.5947	-1.78801	4.39361	0.0785599	0.0978866	0.17065	0.236108	2.67979	10.3514
R	1477010448850000	19.5298	15.8203	-1.92164	4.40193	19.5991	15.8022	-1.91888	4.3246	0.0784861	0.0974852	0.169925	0.235213	2.67979	1.50539
L	1477010448900000	19.4307	16.039	-2.04114	4.3469	19.4958	16.0166	-2.04423	4.26792	0.0783828	0.0970965	0.16921	0.234335	0.0257242	1.50539
R	1477010448950000	19.3257	16.2549	-2.15925	4.28868	19.3891	16.2243	-2.15258	4.21139	0.0782696	0.0967315	0.168505	0.233463	0.0257242	1.46557
L	1477010449000000	19.2148	16.4679	-2.27586	4.22731	19.2767	16.4069	-2.26344	4.11915	0.0781484	0.0964904	0.167811	0.232704	1.03855	1.46557
R	1477010449050000	19.0981	16.6777	-2.39087	4.16284	19.1561	16.6054	-2.38951	4.04071	0.0780041	0.0963164	0.167122	0.232012	1.03855	0.452424
L	1477010449100000	18.9757	16.8841	-2.50418	4.0953	19.027	16.8124	-2.5127	3.97774	0.0778237	0.096142	0.166443	0.23131	0.0717101	0.452424
R	1477010449150000	18.8477	17.0872	-2.61571	4.02476	18.8738	17.0076	-2.69844	3.86165	0.0775446	0.0960196	0.165937	0.23084	0.0717101	7.81818
L	1477010449200000	18.7142	17.2866	-2.72534	3.95127	18.7078	17.2339	-2.85851	3.81138	0.077236	0.0957505	0.1657	0.230255	1.72541	7.81818
R	1477010449250000	18.5752	17.4822	-2.83299	3.87489	18.5948	17.4328	-2.8874	3.78256	0.0769486	0.0954716	0.165113	0.229487	1.72541	4.84995
L	1477010449300000	18.4309	17.674	-2.93858	3.79568	18.3864	17.6192	-3.07652	3.67459	0.0767468	0.0952193	0.164916	0.228834	4.56076	4.84995
